"user_id","role_id","email","password","name","active","created_at"
1,1,"admin@hmbs.com","admin123","John Smith",true,"2025-10-24T10:55:19.914Z"
2,2,"instructor1@hmbs.com","staff201","Jane Doe",true,"2025-10-24T10:55:19.930Z"
3,2,"instructor2@hmbs.com","staff202","Robert Brown",true,"2025-10-24T10:55:19.939Z"
4,3,"programhead2@hmbs.com","staff302","Linda Davis",true,"2025-10-24T10:55:19.947Z"
5,4,"student1@hmbs.com","student401","Chris Lee",true,"2025-10-24T10:55:19.956Z"
6,4,"student2@hmbs.com","student402","Emily Clark",true,"2025-10-24T10:55:19.964Z"
7,4,"student3@hmbs.com","student403","David Wilson",true,"2025-10-24T10:55:19.972Z"
8,4,"student4@hmbs.com","student404","Sarah Martinez",true,"2025-10-24T10:55:19.981Z"
9,4,"student5@hmbs.com","student405","James Taylor",true,"2025-10-24T10:55:19.988Z"
10,2,"instructor3@hmbs.com","staff203","Michael Johnson",true,"2025-10-27T19:26:33.145Z"
11,4,"student6@hmbs.com","student406","Jane Rose Bandoy",false,"2025-10-27T19:27:02.794Z"
12,4,"student7@hmbs.com","student407","Edward Uriel",true,"2025-10-27T19:55:53.525Z"
13,4,"foxpainter@hmbs.com","student406","Xiao Kang",false,"2025-11-13T09:36:48.014Z"
14,4,"student8@hmbs.com","student408","James Taylor",true,"2025-11-13T09:43:40.775Z"
15,4,"student9@hmbs.com","student409","Tyler Weiss",false,"2025-11-13T09:53:49.149Z"
17,4,"student10@hmbs.com","student410","Jane Rose Bandoy",true,"2025-11-13T11:24:03.783Z"
18,4,"student11@hmbs.com","student411","Tyler Durden",false,"2025-11-13T14:13:06.740Z"
19,4,"student12@hmbs.com","student413","Tyler Weiss",false,"2025-11-13T14:13:06.755Z"
20,4,"student13@hmbs.com","student415","Tyler Durden",false,"2025-11-13T14:13:06.756Z"
21,4,"student14@hmbs.com","student417","Tyler Weiss",false,"2025-11-13T14:13:06.758Z"
24,4,"student15@hmbs.com","student415","Tyler Weiss",true,"2025-11-13T14:32:19.129Z"
25,4,"student16@hmbs.com","student416","Tyler Durden",true,"2025-11-13T14:32:19.144Z"
